Nombre de la Localidad;Tipo de Localidad;Ámbito;Pueblo Indígena u Originario;Departamento;Provincia;Distrito;Ubigeo;Fecha reconocimiento;Fecha titulación;"Área 
(Hectárea)";"De 0 a 4 años
(aprox.)";"De 5 a 14 años 
(aprox.)";"De 15 a 29 años 
(aprox.)";"De 30 a 64 años 
(aprox.)";"De 65 años a más
(aprox.)"
Goncha;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Asunción;10102;16291;34788;4416.418279;34;58;73;165;65
Diosan;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Granada;10107;20703;34912;5295.569709;9;37;27;69;19
San Pedro de Yambajalca;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Granada;10107;16553;34912;25733.80603;31;102;87;214;46
Huancas;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Huancas;10108;20242;35906;6412.987343;32;61;324;808;74
La Jalca;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;La Jalca;10109;16389;34901;46029.09437;512;1200;1232;1846;380
Olleros;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Olleros;10116;16291;34971;19962.00697;29;53;74;175;44
Quinjalca;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Quinjalca;10117;24502;34788;11620.18491;51;121;144;351;107
Alto Numpatkaim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;35525;35583;2736.868889;25;40;38;26;4
Tayu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;35905;35905;3856.341204;27;47;62;62;8
Tsuntsuntsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;28373;28779;1123.817643;16;39;24;79;9
Tutumberos;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;27593;27618;5029.981304;163;252;246;261;25
Yamakai;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;-;-;-;1;3;1;4;0
Ujukam;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;39723;-;-;16;31;27;45;10
Najem;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;-;-;-;30;46;47;39;2
Shawi;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;-;-;-;19;30;26;33;1
Achu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28339;28402;2865.287363;19;51;19;41;1
Alto Bichanak;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;2049.024771;65;139;138;163;27
Alto Shimutas;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;5222.821302;41;89;49;70;3
Alto Tuntus;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36027;36040;17728.66783;63;124;132;95;13
Alto Wawas;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36297;36383;5490.398006;1;2;3;0;0
Autukai;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;3414.706347;8;17;11;11;3
Bichanak;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;1266.842413;63;150;140;136;10
Bichatin Entsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36297;36383;13280.6765;26;53;29;51;9
Bukuig;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28340;28402;934.8402481;26;31;28;42;2
Chayu-Atúnsamu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35893;35905;2266.098379;3;7;0;7;0
Chikais;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;4268.072783;22;42;28;31;0
Chinim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;196.628832;63;156;181;239;34
Chipe Cuzu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;29080.26664;274;705;426;546;52
Duship;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;1245.200959;30;58;41;67;9
Inayua-Marañón;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35810;35905;2810.862251;9;28;13;22;1
Kagka;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;10918.55441;0;0;0;0;0
Kayamas Wee;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;2049.365823;5;8;10;13;0
Kunchin;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;23296.11175;154;315;204;271;22
Kusuim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35355;35583;6540.118011;29;57;28;24;2
La Curva;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;131.7380068;13;37;26;22;2
La Tuna;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35525;35583;8098.090912;11;15;18;9;1
Nayumpin (o Nayumpik);Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;3183.509394;29;36;55;37;1
Nazareth;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27618;2694.960878;249;455;388;409;44
Numpatkaim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;8619.135753;62;149;106;127;12
Samaren;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;31842;35390;1178.360424;26;40;27;22;4
Sawientsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;3211.873127;1;2;3;2;0
Sawientsa-bichanak;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35905;35905;6240.163214;243;612;588;789;92
Shijap;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35525;35583;2659.438864;5;17;7;13;2
Shimpuents-bakants;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;4636.198169;102;181;120;107;7
Shushug;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28003;28027;1392.833954;146;319;226;237;36
Shushui;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28297;4293.318128;32;94;73;79;6
Suikai;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;5756.181592;133;310;265;409;58
Tuntuam;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35905;35905;1677.298069;0;0;0;0;0
Tuyankuwas (sijiak);Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28494;29263;87029.0791;239;457;369;399;40
Umpunchig;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;2237.914306;3;6;1;5;2
Tunim;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;10;13;12;13;3
Pakui;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;23;35;24;30;1
Sijiak;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;42;77;56;76;9
Nayap;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;15;30;24;24;6
San Pablo;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;33;66;33;59;9
Uyac Entsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;0;0;0;0;0
Yamakai Wawik;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;12;36;23;22;0
Chapi;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;29;64;45;54;5
Nuevo Belen;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;33;91;55;72;8
Cocha Verde;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;19;40;28;42;5
Maracana;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;22;36;21;29;0
Numparque;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;10;14;12;19;2
Alto Dapinza;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;4;12;12;17;1
Pakun;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;56;88;76;69;2
Puerto Pacuy;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;19;27;28;43;7
Pagki;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;25;64;30;39;3
Tsegken;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;27;52;26;35;1
Chigkanas;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;18;18;20;14;1
Tuntus;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;36;51;53;40;1
Shaujip Yanat;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;9;28;11;19;0
Wachinst;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;42676;-;-;3;5;14;7;1
Tangkaentsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;10;19;20;19;2
Jose Juum;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;2;8;3;11;2
El Paraiso;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;11;23;23;31;9
Waga Entsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;17;34;26;21;2
Nueva Luz;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;8;5;14;12;1
Nuevo Horizonte;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;4;7;31;19;3
Sasa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;14;16;16;20;3
Jempe;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;19;49;39;30;2
Villa Rica;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;11;21;20;24;2
Parcela Nuevo Bakish;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;3;3;8;7;0
Weepiu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;43266;-;-;5;14;12;5;0
Dapis Bajo;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;273;517;622;800;66
Kaya Washu;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;4;5;6;10;0
Pitug;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;6;12;5;15;2
Yangunga;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;14;23;14;18;0
Uut;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;5939.036203;86;188;125;166;22
Uyu-entsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;11200.53425;11;15;15;9;3
Wachapea;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;3134.814211;198;355;289;283;15
Wampintsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;34114;35390;24304.2459;0;0;0;0;0
Wawaim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;1297.754127;60;138;122;126;13
Wawas;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;5000.379035;171;295;225;252;20
Wawik;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28050;28296;10635.7869;226;501;367;447;44
Wee;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;34114;34379;5690.888236;10;25;11;27;1
Winchu-temashnum;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;4281.189969;145;290;235;238;20
Yamayakat;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;1411.136037;27;143;153;59;4
Yupicusa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27923;28027;3825.033973;146;206;216;199;24
Chija;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;0;0;22;33;4
Nueva Vida;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;1466.885318;8;12;11;30;3
Paik;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28003;28027;5600.857088;25;35;27;26;1
Shaim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35525;35583;18693.83571;25;42;39;51;4
Yampik;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36454;36481;11623.16141;0;1;0;1;1
Kusu Chico (o Cusu Chico);Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;991.0160328;21;54;47;47;1
Pakuy;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27618;2634.293715;60;109;86;92;7
Cuzu Chico;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;21;54;47;47;1
Emat;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;4;5;8;6;2
Epemimu;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;36;82;57;61;5
Huantsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;36;80;53;74;7
Jayais;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;57;128;81;95;9
Jempets;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;10;16;8;9;0
Kampaentsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;15;27;10;22;5
Kucha;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;19;24;21;17;2
Kusu;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;29;47;41;61;3
Kusu Chapi;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;31;77;46;42;3
Kusu Kunchin;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;27;41;25;37;3
Sugka;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;41030;-;-;6;16;6;11;1
Listra;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;54;111;61;88;11
Meente;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;28;61;43;36;6
Alto Wawaim;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;23;38;30;24;0
Nueva Jerusalén;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;0;0;0;0;0
Nuevo Salem;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;20;42;22;29;4
Nuevo Samaria;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;17;25;20;28;4
Ankuship;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;6;12;5;11;0
Pantsam;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;16;31;14;20;0
Porvenir;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;2;10;4;10;2
Pumpu;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;10;28;27;28;1
Putuim;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;19;18;22;18;0
Bakaig;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;22;30;20;30;2
Bakanst;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;38;57;33;27;2
San Mateo;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;36;111;50;81;2
San Rafael;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;44;83;73;79;8
San Ramón;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;72;107;58;87;7
Saunak;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;0;2;1;4;1
Sukutin;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;6;18;6;19;3
Tagkae Entsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;4;19;12;10;2
Teesh;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;10;19;28;21;1
Temashnum;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;70;130;116;117;9
Boca de Lobo;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;18;13;19;15;4
Tsagentsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;23;43;33;25;1
Ubukay;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;12;21;14;16;1
Wajuyat;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;13;47;44;45;3
Wayampiak;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;37;79;84;74;7
Wichim;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;17;38;21;33;1
Yanat;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;38;89;62;63;4
Cuispes;Comunidad campesina;Andino;Quechuas;Amazonas;Bongara;Cuispes;10305;19396;34705;6214.215637;468;1142;1404;2672;546
San Carlos;Comunidad campesina;Andino;Quechuas;Amazonas;Bongara;San Carlos;10309;17352;34788;7393.044654;50;109;172;321;93
San Pablo;Comunidad campesina;Andino;Quechuas;Amazonas;Bongara;Valera;10311;19679;34729;4352.7604;65;117;190;381;118
Achuaga;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27618;1617.213758;38;73;59;67;11
Adsacusa;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27617;2736.20439;63;92;85;70;6
Ajachín;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;29066;29248;3686.073068;54;103;56;64;5
Alto Pajakus;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28003;28297;6916.786849;25;59;30;67;2
Awananch;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36227;36255;5645.441079;0;0;0;0;0
Bajo Pupuntas;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28016;28030;2869.212213;12;42;24;33;5
Bashutak;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35264;35390;6189.437042;18;41;15;37;8
Cachiyacu;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28016;28027;6031.441088;69;109;73;86;4
Canampa;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27617;2296.434714;42;80;55;62;3
Cayamas;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28016;28027;6227.04916;147;250;172;186;11
Chamikar;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27597;27617;26467.93095;206;457;335;404;24
Chingamar;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27617;4366.567867;76;135;84;104;9
Dapikat Kajekui;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36227;36255;21712.97644;6;5;7;5;1
Dequentei;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36454;36481;1226.437781;3;9;8;11;1
Duship;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28016;28027;6589.658926;95;159;112;118;3
Ebrón;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27617;2216.91363;60;118;61;82;7
Huaracayo;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27617;2451.317702;50;83;39;56;3
Inayuam;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35893;35905;8537.989449;30;56;29;51;0
Iwanch Ujugmamu;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36027;36040;6645.209553;13;21;14;17;0
Japaime Escuela;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27557;27618;3760.113097;42;118;95;99;12
Japaime Quebrada;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27557;27618;1450.297235;23;32;30;47;5
Kachi;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35893;35905;5857.85803;12;36;21;30;3
Kashap;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36227;36255;14191.79285;43;75;62;75;2
Kawit;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36027;36059;2051.695924;37;45;45;53;7
Kayakusha;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;34114;34379;10776.26592;23;54;28;31;2
Kuith;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27617;2614.633842;49;96;58;93;8
Kuji;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35688;35741;5775.95301;0;0;2;2;0
Majanu-entsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36027;35905;2899.811088;0;0;0;0;0
Napuruk;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27557;27617;14917.58874;116;229;139;219;28
Nujagkin;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35893;35905;2230.238805;34;102;42;68;2
Paantan Entsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36027;36040;3871.767889;54;125;91;100;11
Pajacusa;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28016;28030;2655.237733;19;28;15;22;1
Peas;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36227;36255;924.9634908;10;31;15;24;2
Piitug;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35927;35978;7017.547433;6;5;6;6;0
Pumpushak;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28020;28297;3190.651226;28;44;34;48;1
Saasa;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28020;28297;6219.257026;101;228;168;219;11
Sanchum;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36297;36383;3147.476217;12;9;15;6;0
Santa Rosa;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27617;4964.497627;38;97;60;86;10
Seasmi;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27618;704.8279982;46;67;59;64;8
Shawit;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;28003;28027;13043.27806;187;388;268;314;25
Shimpu;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36027;36059;1980.8727;2;1;4;4;1
Tamish Namak;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35927;35978;6513.348089;13;27;19;16;1
Tatankus;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36227;36255;5471.474586;5;4;6;3;1
Tsamajain;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35264;35390;912.0368943;14;26;16;20;3
Tsamash;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;35893;35915;2132.095015;0;0;1;0;0
Tunduza;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;27593;27618;10731.06802;97;167;124;148;11
Ugkum;Comunidad nativa;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;36027;35978;13615.23707;27;48;33;38;1
Datem Entsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;-;-;-;13;21;17;17;0
Yumingkus;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;-;-;-;45;103;86;107;8
Alto Kuit;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Condorcanqui;Nieva;10401;-;-;-;13;33;21;35;1
